HistLabel,Overall,Staff,Help,Nurses,Therapist,Time,Doc,Need,Patients,People,Food,Smoke,Cold,Meds,Communication
polN0.02,55,13,11,5,6,9,6,5,9,3,4,1, ,9,1
polN0.07,77,20,12,8,4,13,14,12,15,3,1,1,1,9,1
polN0.12,90,25,11,9,5,18,10,19,13,6,3,2,3,11,3
polN0.17,84,19,12,17,6,10,13,15,10,2,4,1,3,10,3
polN0.22,78,16,9,7,7,18,15,8,16,7,1, ,3,12,3
polN0.27,206,27,19,12,11,38,15,29,29,15,5,8,9,19,5
polN0.32,98,23,19,10,7,17,25,15,21,1,5,6,2,15,3
polN0.37,101,22,9,11,8,15,17,14,11,9,6,2,3,16,4
polN0.42,138,35,14,10,10,18,20,33,18,6,3,3,5,16,1
polN0.47,129,31,10,19,5,9,15,18,19,6,8,6,5,9,6
polN0.52,119,18,9,7,9,19,18,17,15,8,9,1,1,15,1
polN0.57,108,20,11,13,5,12,16,15,19,8,5,2,2,17,3
polN0.62,77,17,11,5,5,6,18,9,10, ,9,2,4,8,5
polN0.67,89,19,11,6,3,16,16,21,20,10,5,5,2,20,3
polN0.72,68,17,5,8,3,12,12,13,11,4,2,2,1,10,3
polN0.77,76,17,6,8,2,11,17,8,10,4,7,3,3,13,2
polN0.82,64,14,1,6,3,7,18,13,8,3,5,3,1,17,2
polN0.87,62,18,9,9,5,8,13,8,14,12,3,1, ,15,4
polN0.92,31,10,3,5,1,3,11,4,8,4,2, , ,6,2
polN0.98,7,2,3, , ,1,5,1,2, , , ,1,5, 
polO0,1933,221,75,87,89,221,143,338,130,60,54,97,100,82,31
polP0.03,41,10,12,3,2,7,8,12,3,8,1,1,1,6,1
polP0.08,86,16,19,9,5,9,7,16,11,8,2,2,2,13,4
polP0.13,89,22,22,8,3,13,7,17,17,12,7,2,5,6,3
polP0.18,107,23,16,5,8,19,17,22,19,10,3,2, ,10,4
polP0.23,122,26,21,8,7,20,18,20,17,8,4,5,2,12,2
polP0.28,135,27,28,6,9,25,21,32,19,10,6,5,2,14,2
polP0.33,192,39,17,16,12,30,28,21,19,10,10,8,3,20,5
polP0.38,475,61,42,23,15,33,31,33,27,23,10,12,3,21,7
polP0.43,892,140,163,35,41,83,43,114,62,34,49,16,14,37,21
polP0.48,615,177,196,35,33,35,42,58,51,27,16,3,5,22,10
polP0.53,269,75,47,16,16,27,27,41,22,10,5,6,2,13,6
polP0.58,654,218,88,68,59,44,39,51,35,26,17,11,9,24,11
polP0.63,1122,287,146,86,78,61,79,75,36,34,23,8,10,20,7
polP0.68,573,137,152,60,45,51,60,56,33,20,12,12,5,24,8
polP0.73,580,186,191,70,51,36,50,73,48,28,24,6,3,28,8
polP0.78,909,321,305,81,81,76,85,84,65,46,29,15,5,37,5
polP0.83,966,363,307,97,112,83,98,92,82,53,31,11,9,29,10
polP0.88,1079,427,437,154,138,86,133,120,106,63,34,7,8,52,9
polP0.93,1142,513,525,171,168,110,165,150,103,83,54,8,12,57,19
polP0.98,475,217,242,120,98,51,111,67,54,50,28,3,5,36,7
