"birthage1"	"birthage2"	"birthage3"	"birthage4"	"birthage5"	"birthage6"	"birthage7"	"birthage8"	"birthage9"	"birthage10"	"birthage11"	"birthage12"	"birthage13"	"birthage14"	"caseid"	"age"
23	30													78222	38
20														76868	20
26	36													72575	43
31	32													75124	47
16	19	23	24	25										73800	35
22	24													75758	47
24	31	34	38											75951	38
18	23													79834	37
26	28	34												80699	49
25														71388	38
32	36													76484	46
33														78001	35
22														74875	24
20														79468	21
27														72401	40
35														73943	38
21														73581	28
17	18	22	24											71022	33
13	16	17	18	20	21	22	24	26	27	28	30			73275	32
28	31													73501	45
23	33													79463	40
21	26													72975	26
19	23	25												77835	38
17	20	23												77163	42
16	20	21												71433	34
20	23	34												72175	48
20	24													73613	48
16	21													73393	35
23	26	28												73771	28
22	24													77225	34
30														70954	47
28														72243	47
21	27	33												71832	40
25														80425	26
34														76586	35
31	34													75148	41
30	38													70964	48
33														75138	44
34	35	38												71501	38
23	29													77979	42
39	40													76292	46
19	22													71383	24
24														70828	46
19	23	26												79222	32
24	25													78167	35
27	32													76534	42
17	32													70993	33
28	35													79123	43
18	22	33												73306	36
22	32													72669	33
18	20	27												74587	47
20	22	23												74058	48
19	24	29	31											78674	34
27														77752	31
31														72254	34
17	33													78444	40
26	28													77689	30
29	31	33												71580	46
32	34	37												76765	49
24	31													80517	39
17	18	33												78742	37
23	27	35												75412	40
19	21	23												78679	48
25														77233	32
30	33													76603	40
19	23	27	34											79350	48
17	19	23	30											80274	30
16	18	19	20											72117	22
20	22													77506	22
23														78183	34
17	19	25	27											75847	38
28														74257	31
19	22													72200	23
20	25	28	34											75866	35
29	33													73266	48
27	33													77686	34
26	29													72755	39
17	19	20	25											77701	39
24	28													76825	30
27	29													78146	30
20	26	30												74483	32
20	24	33												74433	36
24														71752	25
28	31	34												74308	39
17														78966	18
19														78439	21
13	14	16	18	22	23									73827	29
21	28													70851	35
30														74996	31
20	24	26	32											76242	45
20	22	32												76778	47
17	22	28												80034	29
26	27	29	32											71625	37
24														76093	29
15	17	28												72531	41
19	25													72150	28
32														77292	41
19	22													72212	23
16	21	28												80298	43
26	29	31												80277	32
26														70713	28
18	20													75320	48
33														79120	41
20														80257	21
21														74825	25
32	35													75229	44
28														76969	44
22														70912	25
17	19	20	21	23										75871	48
24	32													72118	43
27	30	31	33											76351	34
24	27													76472	41
25														79551	37
33														74192	44
23	25	41	43	43	46									74673	48
21	22	23												79713	33
35	37													73052	40
18														73484	20
31	33													76254	42
30														76328	30
27	30													73605	46
37														73314	39
24	26	27												77352	27
23	24	29												73496	37
20														76914	36
31	35													73408	41
20	29													75569	31
24	32													74882	43
22														74029	28
17	18	26												80357	47
23	28													79390	45
24														72653	34
20	21	25	27	28	37	38								76660	47
17	18	21												76554	33
18	24													70633	38
30														77104	48
25	32													71418	45
21	23													75500	23
18	23													76098	24
27														80157	29
22	24	32												73233	37
16	20	22	25	28	31									76100	31
15	20													74244	26
25														79752	30
17	25	27												71523	33
32														71191	44
18														75653	22
20	22	24												77526	34
22	26	36	38											75385	44
19	22	24	28	29										73866	49
29	30	35												77490	38
21	22	27												72061	48
