HistLabel,PolN,Entity
polN0.02,55,Overall
polN0.07,77,Overall
polN0.12,90,Overall
polN0.17,84,Overall
polN0.22,78,Overall
polN0.27,206,Overall
polN0.32,98,Overall
polN0.37,101,Overall
polN0.42,138,Overall
polN0.47,129,Overall
polN0.52,119,Overall
polN0.57,108,Overall
polN0.62,77,Overall
polN0.67,89,Overall
polN0.72,68,Overall
polN0.77,76,Overall
polN0.82,64,Overall
polN0.87,62,Overall
polN0.92,31,Overall
polN0.98,7,Overall
polO0,1933,Overall
polP0.03,41,Overall
polP0.08,86,Overall
polP0.13,89,Overall
polP0.18,107,Overall
polP0.23,122,Overall
polP0.28,135,Overall
polP0.33,192,Overall
polP0.38,475,Overall
polP0.43,892,Overall
polP0.48,615,Overall
polP0.53,269,Overall
polP0.58,654,Overall
polP0.63,1122,Overall
polP0.68,573,Overall
polP0.73,580,Overall
polP0.78,909,Overall
polP0.83,966,Overall
polP0.88,1079,Overall
polP0.93,1142,Overall
polP0.98,475,Overall
