"agegrp"	"gender"	"year"	"cause_code"	"rate"	"relrank"
"1-4"	"F"	1999	"C00-C97"	2.5	3
"1-4"	"F"	1999	"E70-E88"	0.7	10
"1-4"	"F"	1999	"I30-I51"	0.9	7
"1-4"	"F"	1999	"J09-J18"	0.9	8
"1-4"	"F"	1999	"Q00-Q07"	0.7	9
"1-4"	"F"	1999	"Q20-Q28"	1.3	5
"1-4"	"F"	1999	"R95-R99"	1.1	6
"1-4"	"F"	1999	"V01-V99"	4.2	2
"1-4"	"F"	1999	"W00-X59"	6.1	1
"1-4"	"F"	1999	"X85-Y09"	2.4	4
"1-4"	"F"	2000	"A30-A49"	0.7	10
"1-4"	"F"	2000	"C00-C97"	2.5	3
"1-4"	"F"	2000	"E70-E88"	0.8	7
"1-4"	"F"	2000	"I30-I51"	0.7	9
"1-4"	"F"	2000	"Q00-Q07"	0.8	8
"1-4"	"F"	2000	"Q20-Q28"	1.3	5
"1-4"	"F"	2000	"R95-R99"	1.1	6
"1-4"	"F"	2000	"V01-V99"	4	2
"1-4"	"F"	2000	"W00-X59"	5.7	1
"1-4"	"F"	2000	"X85-Y09"	2.1	4
"1-4"	"M"	1999	"A30-A49"	0.9	9
"1-4"	"M"	1999	"C00-C97"	2.9	3
"1-4"	"M"	1999	"E70-E88"	0.9	8
"1-4"	"M"	1999	"I30-I51"	1.1	7
"1-4"	"M"	1999	"J09-J18"	0.8	10
"1-4"	"M"	1999	"Q20-Q28"	1.7	5
"1-4"	"M"	1999	"R95-R99"	1.4	6
"1-4"	"M"	1999	"V01-V99"	5.1	2
"1-4"	"M"	1999	"W00-X59"	9.2	1
"1-4"	"M"	1999	"X85-Y09"	2.4	4
"1-4"	"M"	2000	"A30-A49"	0.9	9
"1-4"	"M"	2000	"C00-C97"	3	3
"1-4"	"M"	2000	"E70-E88"	0.9	8
"1-4"	"M"	2000	"G90-G98"	0.7	10
"1-4"	"M"	2000	"I30-I51"	1	7
"1-4"	"M"	2000	"Q20-Q28"	1.5	5
"1-4"	"M"	2000	"R95-R99"	1.4	6
"1-4"	"M"	2000	"V01-V99"	5	2
"1-4"	"M"	2000	"W00-X59"	8.9	1
"1-4"	"M"	2000	"X85-Y09"	2.5	4
"5-9"	"F"	1999	"C00-C97"	2.3	2
"5-9"	"F"	1999	"D37-D48"	0.3	10
"5-9"	"F"	1999	"E70-E88"	0.4	6
"5-9"	"F"	1999	"G80-G83"	0.4	5
"5-9"	"F"	1999	"I30-I51"	0.4	8
"5-9"	"F"	1999	"Q00-Q07"	0.4	7
"5-9"	"F"	1999	"Q20-Q28"	0.3	9
"5-9"	"F"	1999	"V01-V99"	3.6	1
"5-9"	"F"	1999	"W00-X59"	1.9	3
"5-9"	"F"	1999	"X85-Y09"	0.9	4
"5-9"	"F"	2000	"C00-C97"	2.2	2
"5-9"	"F"	2000	"D37-D48"	0.3	9
"5-9"	"F"	2000	"E70-E88"	0.3	10
"5-9"	"F"	2000	"G80-G83"	0.6	5
"5-9"	"F"	2000	"I30-I51"	0.3	8
"5-9"	"F"	2000	"Q00-Q07"	0.3	7
"5-9"	"F"	2000	"Q20-Q28"	0.4	6
"5-9"	"F"	2000	"V01-V99"	3.7	1
"5-9"	"F"	2000	"W00-X59"	1.9	3
"5-9"	"F"	2000	"X85-Y09"	0.6	4
"5-9"	"M"	1999	"A30-A49"	0.3	10
